supplier,supplier_status,item,basis,spec_date,delivery_period_end,payment_terms,option,logistics,declared_price,consent_price,spec_price,volume_requested,volume_contracted,bids_submitted,bids_contracted,id,late
АГРО-ВЕКТОР ООО,СХТП,подсолнечник,"ЮР Кировский Филиал, АО",2023-02-18,2023-02-25,По факту,10.0,0.0,31.0,31.0,0.0,120.0,0.0,1.0,0.0,"АГРО-ВЕКТОР ООО_ЮР Кировский Филиал, АО_2023-02-18",0
АГРО-ВЕКТОР ООО,СХТП,подсолнечник,"ЮР Кировский Филиал, АО",2023-02-22,2023-03-05,По факту,15.0,0.0,31.5,31.5,31.5,120.0,120.0,1.0,1.0,"АГРО-ВЕКТОР ООО_ЮР Кировский Филиал, АО_2023-02-22",0
АГРО-ВЕКТОР ООО,СХТП,подсолнечник,"Юг Руси, АО",2023-02-22,2023-03-05,По факту,15.0,0.0,31.5,31.5,31.5,60.0,60.0,1.0,1.0,"АГРО-ВЕКТОР ООО_Юг Руси, АО_2023-02-22",0
АГРО-ВЕКТОР ООО,СХТП,подсолнечник,"ЮР Кировский Филиал, АО",2023-02-28,2023-03-10,По факту,15.0,0.0,32.0,30.0,0.0,80.0,0.0,1.0,0.0,"АГРО-ВЕКТОР ООО_ЮР Кировский Филиал, АО_2023-02-28",0
АГРО-ВЕКТОР ООО,СХТП,подсолнечник,"ЮР Кировский Филиал, АО",2023-03-01,2023-03-15,По факту,15.0,0.0,30.0,30.0,30.0,80.0,80.0,1.0,1.0,"АГРО-ВЕКТОР ООО_ЮР Кировский Филиал, АО_2023-03-01",0
АГРО-ВЕКТОР ООО,СХТП,подсолнечник,"ЮР Кировский Филиал, АО",2023-03-03,2023-03-31,По факту,15.0,0.0,31.0,31.0,0.0,200.0,0.0,1.0,0.0,"АГРО-ВЕКТОР ООО_ЮР Кировский Филиал, АО_2023-03-03",0
АГРО-ВЕКТОР ООО,СХТП,подсолнечник,"Юг Руси, АО",2023-04-13,2023-04-23,По факту,15.0,0.0,24.0,22.0,22.0,350.0,350.0,1.0,1.0,"АГРО-ВЕКТОР ООО_Юг Руси, АО_2023-04-13",1
АГРО-ВЕКТОР ООО,СХТП,подсолнечник,"Юг Руси, АО",2023-05-10,2023-05-31,По факту,15.0,0.0,25.0,24.0,0.0,200.0,0.0,1.0,0.0,"АГРО-ВЕКТОР ООО_Юг Руси, АО_2023-05-10",0
АГРО-ВЕКТОР ООО,СХТП,подсолнечник,"Юг Руси, АО",2023-05-17,2023-06-04,По факту,15.0,0.0,23.0,22.0,22.0,60.0,49.28,1.0,1.0,"АГРО-ВЕКТОР ООО_Юг Руси, АО_2023-05-17",1
АГРО-ВЕКТОР ООО,СХТП,подсолнечник,"Юг Руси, АО",2023-06-02,2023-06-16,По факту,15.0,0.0,22.0,22.0,22.0,100.0,100.0,1.0,1.0,"АГРО-ВЕКТОР ООО_Юг Руси, АО_2023-06-02",0
АГРО-ВЕКТОР ООО,СХТП,подсолнечник,"Юг Руси, АО",2023-06-10,2023-06-24,По факту,15.0,0.0,22.0,22.0,0.0,100.0,0.0,1.0,0.0,"АГРО-ВЕКТОР ООО_Юг Руси, АО_2023-06-10",1
АГРО-ПАРТНЕР ООО,Трейдер,подсолнечник,"ЮР Лабинский МЭЗ ф-л, ООО",2022-09-09,2022-09-30,По факту,10.0,0.0,25.0,25.0,25.0,1000.0,1000.0,1.0,1.0,"АГРО-ПАРТНЕР ООО_ЮР Лабинский МЭЗ ф-л, ООО_2022-09-09",1
АГРО-ПАРТНЕР ООО,Трейдер,подсолнечник,"ЮР Лабинский МЭЗ ф-л, ООО",2022-12-07,2022-12-31,По факту,10.0,0.0,29.0,27.0,27.0,2000.0,5200.0,1.0,1.0,"АГРО-ПАРТНЕР ООО_ЮР Лабинский МЭЗ ф-л, ООО_2022-12-07",0
АГРО-ПАРТНЕР ООО,Трейдер,подсолнечник,"ЮР Лабинский МЭЗ ф-л, ООО",2023-03-03,2023-04-02,По факту,5.0,0.0,30.0,30.0,30.0,2500.0,2500.0,1.0,1.0,"АГРО-ПАРТНЕР ООО_ЮР Лабинский МЭЗ ф-л, ООО_2023-03-03",0
АГРО-ПАРТНЕР ООО,Трейдер,подсолнечник,"ЮР Лабинский МЭЗ ф-л, ООО",2023-05-25,2023-06-08,По факту,5.0,0.0,25.0,24.5,24.5,2300.0,2300.0,1.0,1.0,"АГРО-ПАРТНЕР ООО_ЮР Лабинский МЭЗ ф-л, ООО_2023-05-25",0
АГРО-ПАРТНЕР ООО,Трейдер,подсолнечник,"ЮР Лабинский МЭЗ ф-л, ООО",2023-06-16,2023-06-22,По факту,5.0,0.0,23.0,22.0,22.0,37.0,36.0,1.0,1.0,"АГРО-ПАРТНЕР ООО_ЮР Лабинский МЭЗ ф-л, ООО_2023-06-16",0
АГРО-ПАРТНЕР ООО,Трейдер,подсолнечник,"ЮР Лабинский МЭЗ ф-л, ООО",2023-07-04,2023-07-18,По факту,5.0,0.0,26.0,24.5,0.0,1000.0,0.0,1.0,0.0,"АГРО-ПАРТНЕР ООО_ЮР Лабинский МЭЗ ф-л, ООО_2023-07-04",0
АГРО-СЕМЕНА ООО,СХТП,подсолнечник,"ЮР Лискинский МЭЗ ф-л, ООО",2022-09-08,2022-10-10,По факту,10.0,0.0,26.0,26.0,0.0,700.0,0.0,1.0,0.0,"АГРО-СЕМЕНА ООО_ЮР Лискинский МЭЗ ф-л, ООО_2022-09-08",0
АГРО-СЕМЕНА ООО,СХТП,подсолнечник,"ЮР Лискинский МЭЗ ф-л, ООО",2022-09-15,2022-10-15,По факту,10.0,0.0,26.5,25.0,0.0,700.0,0.0,1.0,0.0,"АГРО-СЕМЕНА ООО_ЮР Лискинский МЭЗ ф-л, ООО_2022-09-15",0
АГРО-СЕМЕНА ООО,СХТП,подсолнечник,"ЮР Валуйский МЭЗ ф-л, ООО",2022-10-07,2022-10-21,По факту,10.0,0.0,24.0,24.0,24.0,700.0,710.0,1.0,1.0,"АГРО-СЕМЕНА ООО_ЮР Валуйский МЭЗ ф-л, ООО_2022-10-07",0
